month,serious_accidents,hpi_count,million_hours_worked,safr,safr_monthly_avg,safr_3mth_rolling,safr_12mth_rolling,hpifr,hpifr_monthly_avg,hpifr_3mth_rolling,hpifr_12mth_rolling,financial_year
2016-05-01,0.0,9.0,0.71839,0.0,0.25511159248270127,0.0,0.1970354635264205,12.528014031375715,10.793182758883516,16.073581283207574,14.383588837428697,2015-16
2016-06-01,0.0,8.0,0.69603,0.0,0.25167400967535564,0.0,0.20219108412129724,11.493757452983347,10.802622876834496,15.532123490736499,14.7599491408547,2015-16
2016-07-01,0.0,15.0,0.7822,0.0,0.2479197530292075,0.0,0.2053621283895276,19.17668115571465,10.927539883518145,14.56783603900538,15.40215962921457,2016-17
2016-08-01,0.0,11.0,0.8148,0.0,0.2441263115545246,0.0,0.2070895020118745,13.500245459008346,10.96690507291095,14.827542596477151,15.42816789988465,2016-17
2016-09-01,0.0,14.0,0.8383,0.0,0.24034274206147,0.0,0.10404410054863494,16.700465227245616,11.05576613482762,16.42508109883793,15.190438680100701,2016-17
2016-10-01,1.0,10.0,0.8195,1.2202562538133008,0.2549676717383015,0.40443258108873253,0.21032896080456714,12.202562538133007,11.072881744063379,14.155140338105639,15.03852069752655,2016-17
2016-11-01,1.0,16.0,0.8211,1.217878455730118,0.2691547475075463,0.8068094719432006,0.21395218575157607,19.48605529168189,11.196837496313925,16.13618943886401,15.618509559865053,2016-17
2016-12-01,0.0,19.0,0.7878,0.0,0.2654030086297381,0.823587547356284,0.21477808537579238,24.11779639502412,11.376942303261439,18.53071981551639,16.752690659311806,2016-17
2017-01-01,0.0,10.0,0.768,0.0,0.2618448941869072,0.4207160587319618,0.21494139300507628,13.020833333333334,11.398981060270026,18.93222264293828,16.657957957893412,2016-17
2017-02-01,0.0,14.0,0.8222,0.0,0.258139917411059,0.0,0.21300093826913308,17.027487229384576,11.478621660878424,18.082422203532378,16.29457177758868,2016-17
2017-03-01,0.0,13.0,0.8973,0.0,0.2542143571388357,0.0,0.21106332754632867,14.487908168951298,11.524384190293885,14.874371859296483,16.357407884840473,2016-17
2017-04-01,0.0,11.0,0.8181,0.0,0.25073791332097317,0.0,0.2086872320977658,13.445789023346778,11.550659873652831,14.974779319041613,15.651542407332435,2016-17
2017-05-01,0.0,12.0,1.0081,0.0,0.246582684549632,0.0,0.2025638506577755,11.903580993949014,11.55650848255942,13.21828529465761,15.496134575319825,2016-17
2017-06-01,0.0,14.0,1.0489,0.0,0.2424030010655066,0.0,0.1955741568309164,13.347316236056821,11.586863450931217,12.869117595909708,15.548145468057854,2016-17
2017-07-01,0.0,5.0,1.5238,0.0,0.2365773055302216,0.0,0.18235031318666292,3.2812705079406745,11.387254306188,8.65728328865058,13.585098332406387,2017-18
